,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Montenegro,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2.82,2.745,2.66,NA
Netherlands,62.943,62.211,57.745,57.108,60.289,59.598,63.655,64.998,66.242,69.536,67.736,70.001,72.56195,72.3316,74.92495,76.23715,80.11915,80.50933,84.757,80.672,84.336,88.138,90.284,91.119,96.404,94.1467,92.6257,98.9924,101.3445,105.669
Norway,82.705,91.811,91.603,104.863,105.028,101.561,95.546,102.684,108.131,117.762,120.334,109.286,115.79685,118.36285,110.63655,120.4345,103.26664,108.897,114.59945,120.9,138.0065,117.602,128.61425,105.377,108.737,135.3821,119.6904,134.0631,139.6553,129.9303
Poland,113.449,107.042,109.187,116.666,124.702,127.372,129.532,134.343,132.913,134.246,125.947,124.49,122.56,123.503,124.904,128.45995,132.43522,132.4119,132.2148,130.8758,133.915,134.516,133.45,140.439,142.8549,145.5382,150.8266,149.0854,146.1054,141.8494
Portugal,14.948,13.518,15.089,17.721,18.83,18.56,19.886,19.854,20.894,24.869,27.0557,28.35765,27.9385,29.4982,29.98045,31.54505,33.0669,32.72645,37.20895,40.5978,41.18795,43.97595,43.11,44.386,42.5273,43.5113,46.0237,44.4673,43.0225,46.5255
Romania,63.867,66.355,65.169,66.543,67.861,68.101,71.477,70.183,71.479,71.928,61,54.21,51.529,52.787,52.481,56.548,58.063,54.64822,51.141,48.506,49.653,51.298,52.182,52.423,53.991,56.914,59.7368,58.60264,62.0285,NA
Serbia,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,34.603,34.513,34.711,NA
Slovakia,--,--,--,--,--,--,--,--,--,--,--,--,--,22.9275,23.3085,24.671,24.337,23.33,23.987,26.144,28.861,30.292,30.66,29.4111,28.948,29.8299,29.704,26.5321,27.3309,24.696
Slovenia,--,--,--,--,--,--,--,--,--,--,--,--,11.573,10.945,11.748,12.007,11.973,12.349,12.855,12.485,12.863,13.66,13.792,13.017,14.427,14.264,14.2282,14.15529,15.6344,NA
Spain,108.579,109.573,113.188,114.778,117.409,124.778,127.486,127.987,129.867,140.062,143.661,147.1039,148.0854,147.3928,152.83575,156.79275,165.0922,179.61025,183.35625,194.2048,208.4021,220.6968,225.4094,243.40315,261.21,272.1441,278.629,284.8303,293.5026,275.1172
Sweden,94.18,100.48,97.156,107.133,121.376,134.069,135.623,143.45,142.435,141.168,141.319,141.904,141.306,140.66,137.684,143.50005,135.5014,144.567,153.948,150.168,141.053,156.6089,141.4245,130.6379,146.4199,153.2982,138.4907,143.9485,145.0588,129.3695
Switzerland,45.958,49.65,50.251,49.941,47.011,52.538,53.574,55.843,57.352,52.153,52.527,54.16295,56.0979,58.4818,63.45575,59.8447,53.8166,59.46907,59.4986,66.29955,63.7023,68.2564,62.5513,62.668,61.3077,55.3318,59.4406,63.9243,64.3775,64.0786
Turkey,23.322,23.803,26.44,27.356,30.721,34.369,36.398,39.965,46.3,45.879,55.249,57.76595,64.6315,71.0781,75.15205,82.8527,91.1958,99.09269,106.47521,111.19095,118.9732,116.518,123.324,133.916,143.96235,154.1859,167.9686,182.0527,188.8392,185.2088
United Kingdom,264.918,258.792,253.864,257.115,261.707,274.562,279.07,283.498,288.315,294.582,298.307,301.658,299.581,299.963,302.245,307.51045,328.322,326.38,339.877,343.72995,352.38995,359.6089,362.105,372.08405,368.0597,372.0785,369.9102,369.4342,361.8421,346.0248
Eurasia,1294.00364,1252.19639,1367.78224,1416.61174,1492.09762,1545.00871,1509.6368,1571.81743,1610.20935,1642.92579,1636.14341,1607.174,1487.601,1392.955,1237.434,1223.586,1197.638,1174.454,1159.714,1168.751,1203.5051,1224.0796,1234.77395,1276.9356,1308.0429,1326.60983,1377.67916,1411.79064,1430.89789,NA
Armenia,--,--,--,--,--,--,--,--,--,--,--,--,8.615,6.131,5.494,5.038,5.835,5.656,5.822,5.561,5.618,5.568,5.215,5.212,5.904,5.97704,5.61616,5.58408,5.86259,NA
Azerbaijan,--,--,--,--,--,--,--,--,--,--,--,--,18.58,18.074,16.609,16.1,16.14,15.912,17.015,17.162,17.654,17.896,18.472,20.131,20.482,20.095,22.32,22.876,22.554,NA
Belarus,--,--,--,--,--,--,--,--,--,--,--,--,35.34,31.368,29.514,23.424,22.305,24.495,22.085,24.927,24.538,23.561,24.869,25.031,29.339,29.1055,29.9053,29.9226,32.948,NA
Estonia,--,--,--,--,--,--,--,--,--,--,--,--,11.121,8.571,8.602,8.172,8.557,8.666,8.01,7.772,8.002,7.975,8.01,9.56,9.688,9.6033,9.1592,11.4607,9.9835,NA
Former U.S.S.R.,1294.00364,1252.19639,1367.78224,1416.61174,1492.09762,1545.00871,1509.6368,1571.81743,1610.20935,1642.92579,1636.14341,1607.174,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Georgia,--,--,--,--,--,--,--,--,--,--,--,--,11.144,9.465,8.669,6.646,7.081,7.047,7.903,7.886,7.271,6.798,7.16,7.057,6.812,7.143,7.116,8.173,8.292,NA
Kazakhstan,--,--,--,--,--,--,--,--,--,--,--,--,78.557,73.56,63.243,63.176,55.953,49.49,46.604,44.956,48.621,53.849,55.286,60.466,63.331,64.233,67.746,72.409,75.879,75.606
